city_from_name;city_to_name;city_from_coord;city_to_coord;distance
Dusseldorf;Zaragoza;(51.2254018, 6.7763137);(41.6521342, -0.8809428);1214.4772
Dusseldorf;Venlo;(51.2254018, 6.7763137);(51.39244885, 6.1511724144122955);47.3876
Dusseldorf;Bratislava;(51.2254018, 6.7763137);(48.1516988, 17.1093063);819.2894
Dusseldorf;Hamburg;(51.2254018, 6.7763137);(53.550341, 10.000654);339.2215
Dusseldorf;Rome;(51.2254018, 6.7763137);(41.8933203, 12.4829321);1125.029
Dusseldorf;Lille;(51.2254018, 6.7763137);(50.6365654, 3.0635282);269.0769
Dusseldorf;Liege;(51.2254018, 6.7763137);(50.6450944, 5.5736112);106.3716
Dusseldorf;Warsaw;(51.2254018, 6.7763137);(52.2337172, 21.071432235636493);992.3709
Dusseldorf;Paris;(51.2254018, 6.7763137);(48.8588897, 2.3200410217200766);413.6191
Dusseldorf;Lyon;(51.2254018, 6.7763137);(45.7578137, 4.8320114);624.6864
Dusseldorf;Marseille;(51.2254018, 6.7763137);(43.2961743, 5.3699525);887.8947
Dusseldorf;Bordeaux;(51.2254018, 6.7763137);(44.841225, -0.5800364);896.2065
Dusseldorf;Milan;(51.2254018, 6.7763137);(45.4641943, 9.1896346);665.0376
Dusseldorf;Berlin;(51.2254018, 6.7763137);(52.5170365, 13.3888599);477.3717
Dusseldorf;Madrid;(51.2254018, 6.7763137);(40.4167047, -3.7035825);1448.2241
Dusseldorf;Vienna;(51.2254018, 6.7763137);(48.2083537, 16.3725042);768.3073
Dusseldorf;Munich;(51.2254018, 6.7763137);(48.1371079, 11.5753822);487.5926
Dusseldorf;Amsterdam;(51.2254018, 6.7763137);(52.3727598, 4.8936041);182.1019
Dusseldorf;Stockholm;(51.2254018, 6.7763137);(59.3251172, 18.0710935);1149.3691
Dusseldorf;Copenhagen;(51.2254018, 6.7763137);(55.6867243, 12.5700724);627.7653
Dusseldorf;Barcelona;(51.2254018, 6.7763137);(41.3828939, 2.1774322);1149.4065
Dusseldorf;Cologne;(51.2254018, 6.7763137);(50.938361, 6.959974);34.4291
Dusseldorf;Athens;(51.2254018, 6.7763137);(37.9839412, 23.7283052);1984.437
Dusseldorf;Bucharest;(51.2254018, 6.7763137);(44.4361414, 26.1027202);1625.1608
Dusseldorf;Budapest;(51.2254018, 6.7763137);(47.4979937, 19.0403594);980.9822
Dusseldorf;Naples;(51.2254018, 6.7763137);(40.8358846, 14.2487679);1290.0187
Dusseldorf;Lisbon;(51.2254018, 6.7763137);(38.7077507, -9.1365919);1865.7471
Dusseldorf;Turin;(51.2254018, 6.7763137);(45.0677551, 7.6824892);687.985
