product_id,weight,material_handling
1672707,2876,3
1694456,2785,5
1682865,2751,3
1689146,2736,0
1664069,2707,4
1692656,2611,4
1700887,2609,5
1683405,2594,3
1699172,2543,3
1672091,2511,0
1699955,2502,5
1671951,2483,4
1668612,2483,4
1699670,2458,0
1689032,2426,5
1699173,2411,0
1699793,2400,2
1699337,2386,2
1699310,2383,3
1700121,2382,2
1666507,2373,0
1687346,2373,3
1699689,2369,0
1662551,2361,5
1690614,2357,1
1690619,2357,5
1672720,2338,2
1696753,2316,4
1691548,2310,5
1667817,2301,3
1692708,2287,4
1693740,2261,4
1668097,2259,0
1680966,2251,2
1680562,2249,5
1697081,2239,3
1688598,2227,2
1660563,2214,3
1683407,2199,1
1700130,2183,4
1672651,2171,5
1672000,2170,5
1699419,2170,5
1699697,2164,5
1699345,2158,5
1675670,2152,4
1676699,2151,5
1696488,2130,0
1697083,2127,3
1700003,2124,5
1699583,2119,4
1690627,2114,3
1664346,2106,0
1674378,2102,2
1682826,2097,2
1697874,2096,0
1696746,2095,5
1699948,2075,4
1669740,2072,2
1668094,2070,3
1689548,2060,0
1684005,2058,3
1693747,2054,4
1683387,2052,5
1699674,2045,5
1699794,2042,3
1680740,2032,4
1699798,2031,1
1695862,2016,5
1670498,2012,0
1697086,2009,2
1696149,2009,5
1682648,2008,4
1700875,2005,5
1700014,2005,5
1697306,2003,5
1660673,2001,0
1692106,1997,4
1677891,1988,5
1660897,1985,5
1689543,1977,5
1687644,1974,5
1696456,1967,2
1666396,1954,5
1699248,1953,3
1682709,1946,5
1655818,1936,2
1692946,1936,0
1683199,1933,5
1669409,1927,3
1688610,1923,4
1671247,1915,2
1686463,1910,5
1698988,1904,5
1682859,1903,0
1689461,1903,4
1699329,1902,3
1681376,1896,3
1650715,1895,4
1699974,1894,1
1692724,1890,1
1660580,1889,0
1680561,1887,4
1699570,1885,5
1672714,1884,3
1642993,1874,2
1695817,1873,5
1699312,1873,3
1689545,1870,0
1699241,1863,2
1701462,1860,5
1688575,1858,0
1696747,1855,1
1698898,1853,3
1672670,1847,3
1685213,1847,5
1699676,1847,5
1668547,1844,3
1617714,1843,5
1657063,1842,4
1685760,1840,5
1682757,1839,4
1675655,1838,5
1637055,1835,5
1699953,1831,0
1666959,1830,3
1651366,1829,5
1683392,1822,5
1682210,1820,5
1689460,1819,2
1700738,1818,5
1696074,1812,2
1688589,1811,4
1699842,1810,5
1696263,1800,5
1686657,1799,0
1690630,1797,2
1682796,1795,2
1690092,1790,4
1682983,1781,1
1668346,1778,2
1692723,1778,5
1699371,1772,2
1692984,1770,5
1676566,1768,3
1682739,1766,4
1692113,1759,2
1676565,1758,2
1686215,1755,5
1692109,1749,3
1699575,1744,5
1688292,1739,0
1680738,1738,2
1666317,1735,0
1675662,1735,0
1660551,1734,2
1636782,1730,5
1684796,1727,5
1699567,1725,2
1699336,1724,4
1654622,1723,4
1682805,1721,5
1660577,1716,5
1689546,1713,3
1699625,1711,3
1679687,1708,3
1678674,1707,5
1684808,1705,3
1699792,1702,2
1697072,1701,5
1656347,1700,2
1690001,1700,1
1697444,1699,5
1668347,1698,5
1697317,1693,5
1689779,1685,5
1699239,1684,1
1672706,1684,5
1696075,1683,2
1700143,1683,5
1689785,1683,4
1692114,1679,2
1652630,1678,0
1689550,1666,5
1692998,1666,5
1690631,1665,4
1699696,1664,3
1699993,1664,0
1660668,1664,5
1695062,1664,2
1679991,1664,1
1646392,1663,1
1671832,1661,0
1693122,1659,2
1680915,1653,5
1683430,1649,3
1683409,1647,4
1623991,1643,5
1698924,1641,2
1684497,1639,3
1700118,1633,5
1699976,1628,2
1661099,1627,5
1699771,1625,3
1699246,1624,5
1690294,1624,5
1699327,1624,4
1617826,1623,2
1699586,1622,1
1686764,1621,5
1652538,1615,4
1692994,1613,3
1653969,1612,0
1699022,1611,4
1660583,1609,5
1654498,1609,4
1671416,1606,2
1671942,1600,2
1670203,1593,5
1699418,1590,4
1699315,1589,5
1701972,1589,5
1672721,1586,2
1658532,1585,5
1690617,1583,2
1689554,1578,5
1682745,1576,5
1643056,1575,5
1662238,1572,0
1683636,1572,0
1689551,1572,0
1693230,1571,5
1689547,1571,4
1683935,1570,3
1644200,1570,4
1662274,1569,0
1677878,1569,3
1650571,1568,5
1691544,1560,2
1699954,1559,3
1692277,1556,5
1689296,1556,5
1699433,1555,2
1652883,1554,0
1691546,1553,5
1692974,1553,2
1666994,1552,1
1699952,1551,4
1699285,1549,5
1656348,1548,2
1702652,1546,0
1643057,1541,5
1676592,1540,4
1682908,1540,3
1682769,1538,3
1671246,1537,5
1690616,1536,1
1654251,1536,5
1699314,1533,5
1680245,1533,4
1683558,1531,5
1700106,1530,1
1699555,1529,2
1699950,1527,0
1692722,1527,5
1687354,1527,3
1654621,1525,2
1683426,1524,3
1691393,1523,3
1684703,1522,5
1668639,1522,5
1669701,1521,0
1674598,1519,1
1699675,1517,4
1683203,1517,0
1644050,1517,3
1700094,1514,5
1699220,1512,5
1696757,1509,5
1671807,1509,2
1682959,1508,2
1689298,1505,5
1685076,1501,2
1689553,1501,2
1693105,1497,4
1699573,1495,5
1686401,1495,5
1699539,1494,5
1683635,1492,5
1654497,1486,0
1652080,1486,2
1689784,1485,5
1692949,1482,5
1699556,1479,2
1676564,1479,5
1699188,1478,5
1683293,1477,1
1675654,1473,2
1683282,1469,5
1699372,1465,0
1672347,1464,4
1697781,1462,5
1699283,1457,0
1683700,1451,3
1674635,1449,3
1700139,1446,5
1700569,1445,0
1649002,1445,2
1696754,1444,0
1700980,1443,2
1697230,1440,0
1655754,1439,4
1676851,1435,3
1683191,1431,5
1696533,1430,5
1652885,1427,2
1699290,1425,3
1646909,1424,3
1682914,1424,3
1692950,1421,2
1672664,1420,2
1698930,1419,0
1690144,1416,4
1699333,1416,2
1668421,1416,0
1671997,1409,1
1690143,1409,5
1671461,1408,5
1693019,1407,5
1685212,1405,3
1699515,1400,5
1699666,1400,5
1681700,1399,5
1681883,1397,2
1689469,1395,5
1649007,1389,2
1689031,1389,5
1699548,1388,0
1670215,1385,3
1676853,1381,2
1682835,1380,3
1682651,1379,3
1694720,1377,3
1690006,1375,5
1651377,1372,4
1701406,1363,5
1664061,1361,2
1699311,1358,3
1682772,1356,2
1655723,1351,5
1650400,1349,0
1699265,1348,4
1684560,1348,0
1693618,1346,3
1672712,1345,5
1699769,1344,4
1692956,1343,5
1671833,1343,3
1685332,1342,3
1680249,1340,0
1688290,1339,0
1662395,1338,3
1689788,1338,4
1689782,1336,5
1681882,1335,0
1683634,1333,1
1668343,1332,5
1699795,1332,4
1685329,1331,1
1696476,1328,1
1687521,1321,3
1692899,1318,2
1696262,1315,5
1695346,1314,0
1699361,1312,5
1697080,1311,3
1691700,1309,3
1620510,1308,4
1699623,1304,3
1651933,1304,3
1696798,1303,3
1657475,1303,1
1629341,1302,5
1701405,1294,2
1688288,1294,2
1668555,1294,3
1696260,1291,5
1660585,1290,3
1696756,1288,5
1679639,1287,4
1651302,1287,3
1657013,1285,0
1683560,1284,3
1698997,1281,5
1693104,1281,0
1685214,1278,5
1685330,1275,5
1677229,1274,4
1695349,1274,4
1692115,1273,2
1699326,1273,5
1702016,1272,0
1699465,1272,5
1697084,1266,4
1655982,1262,0
1696748,1262,3
1687491,1258,5
1686435,1257,5
1672034,1257,1
1663337,1255,3
1688285,1253,5
1666443,1251,1
1689544,1250,2
1649008,1243,1
1699571,1240,5
1684862,1238,3
1685963,1230,0
1622685,1230,3
