alpha,cost,extra_hub
1,130933.54830214931,Athens
1,131094.30872572208,Barcelona
1,131839.02393298395,Marseille
1,132438.74404641433,Lyon
1,132490.19285965187,Turin
1,132613.18214703613,Milan
1,132945.96341193907,Bucharest
1,133490.9807754491,Munich
1,133587.75840434362,Amsterdam
1,133672.63316095434,Rotterdam
1,133785.1951626898,Naples
1,134048.7977583764,Budapest
1,134120.03992165008,Paris
1,134204.82601827997,Bordeaux
1,134264.95974801504,Berlin
1,134282.14094359413,Hanover
1,134308.79199380273,Vienna
1,134367.38499582422,Copenhagen
1,134374.15439659238,Valencia
1,134375.91088639043,Cologne
1,134395.94011868784,Prague
1,134411.80535840144,Bremen
1,134424.59896898334,Malmö
1,134429.10970137265,Stockholm
1,134437.08408647322,Madrid
1,134477.47053856187,Lisbon
1,134479.3756208315,Helsinki
1,134491.88362912243,AAAA None
0,225764.25289601827,Athens
0,228337.2760207513,Rotterdam
0,231804.44177212464,Barcelona
0,236900.958359562,Amsterdam
0,240749.2943266259,Milan
0,241166.73943432677,Marseille
0,242068.53792499646,Berlin
0,242588.37555261303,Turin
0,242702.30574428214,Lyon
0,242778.138748399,Madrid
0,243236.98782984936,Bucharest
0,243385.5309644229,Copenhagen
0,243565.46508498117,Malmö
0,243596.37521254338,Munich
0,243610.84897291736,Stockholm
0,244005.7810458225,Paris
0,244994.1511500863,Naples
0,245070.80754230972,Vienna
0,245210.52985015223,Prague
0,245239.40148472917,Budapest
0,245355.3556983365,Lisbon
0,245485.00461626393,Hanover
0,245525.42517383336,Helsinki
0,245577.85055749697,Bordeaux
0,245631.19064880928,Valencia
0,245900.2012850289,Bremen
0,246289.82161540285,Cologne
0,246451.90928100594,AAAA None
